id,Przyczyna,ID Zamówienia
311,zle zapakowane jedzenie,310
312,inne,311
313,zle zapakowane jedzenie,312
314,inne,313
315,inne,314
316,nieswieze jedzenie,315
317,inne,316
318,Zbyt dlugi czas oczekiwania,317
319,inne,318
320,inne,319
321,nieswieze jedzenie,320
322,nieswieze jedzenie,321
323,nieswieze jedzenie,322
324,Zbyt dlugi czas oczekiwania,323
325,Zbyt dlugi czas oczekiwania,324
326,inne,325
327,inne,326
328,zle zapakowane jedzenie,327
329,Zbyt dlugi czas oczekiwania,328
330,zle zapakowane jedzenie,329
331,zle zapakowane jedzenie,330
332,Zbyt dlugi czas oczekiwania,331
333,nieswieze jedzenie,332
334,zle zapakowane jedzenie,333
335,zle zapakowane jedzenie,334
336,Zbyt dlugi czas oczekiwania,335
337,nieswieze jedzenie,336
338,zle zapakowane jedzenie,337
339,nieswieze jedzenie,338
340,inne,339
341,Zbyt dlugi czas oczekiwania,340
342,zle zapakowane jedzenie,341
343,inne,342
344,inne,343
345,nieswieze jedzenie,344
346,zle zapakowane jedzenie,345
347,nieswieze jedzenie,346
348,Zbyt dlugi czas oczekiwania,347
349,nieswieze jedzenie,348
350,zle zapakowane jedzenie,349
351,inne,350
352,inne,351
353,Zbyt dlugi czas oczekiwania,352
354,nieswieze jedzenie,353
355,nieswieze jedzenie,354
356,inne,355
357,nieswieze jedzenie,356
358,Zbyt dlugi czas oczekiwania,357
359,zle zapakowane jedzenie,358
360,Zbyt dlugi czas oczekiwania,359
361,Zbyt dlugi czas oczekiwania,360
362,nieswieze jedzenie,361
363,inne,362
364,Zbyt dlugi czas oczekiwania,363
365,nieswieze jedzenie,364
366,Zbyt dlugi czas oczekiwania,365
367,nieswieze jedzenie,366
368,zle zapakowane jedzenie,367
369,inne,368
370,nieswieze jedzenie,369
371,Zbyt dlugi czas oczekiwania,370
372,Zbyt dlugi czas oczekiwania,371
373,inne,372
374,nieswieze jedzenie,373
375,nieswieze jedzenie,374
376,nieswieze jedzenie,375
377,inne,376
378,Zbyt dlugi czas oczekiwania,377
379,inne,378
380,Zbyt dlugi czas oczekiwania,379
381,inne,380
382,inne,381
383,nieswieze jedzenie,382
384,inne,383
385,Zbyt dlugi czas oczekiwania,384
386,Zbyt dlugi czas oczekiwania,385
387,zle zapakowane jedzenie,386
388,nieswieze jedzenie,387
389,Zbyt dlugi czas oczekiwania,388
390,nieswieze jedzenie,389
391,inne,390
392,zle zapakowane jedzenie,391
393,inne,392
394,Zbyt dlugi czas oczekiwania,393
395,zle zapakowane jedzenie,394
396,zle zapakowane jedzenie,395
397,zle zapakowane jedzenie,396
398,inne,397
399,inne,398
400,zle zapakowane jedzenie,399
401,inne,400
402,Zbyt dlugi czas oczekiwania,401
403,zle zapakowane jedzenie,402
404,inne,403
405,inne,404
406,Zbyt dlugi czas oczekiwania,405
407,inne,406
408,inne,407
409,Zbyt dlugi czas oczekiwania,408
410,inne,409
411,nieswieze jedzenie,410
412,inne,411
413,zle zapakowane jedzenie,412
414,inne,413
415,nieswieze jedzenie,414
416,Zbyt dlugi czas oczekiwania,415
417,Zbyt dlugi czas oczekiwania,416
418,Zbyt dlugi czas oczekiwania,417
419,inne,418
420,zle zapakowane jedzenie,419
421,inne,420
422,inne,421
423,Zbyt dlugi czas oczekiwania,422
424,zle zapakowane jedzenie,423
425,Zbyt dlugi czas oczekiwania,424
426,inne,425
427,Zbyt dlugi czas oczekiwania,426
428,nieswieze jedzenie,427
429,nieswieze jedzenie,428
430,nieswieze jedzenie,429
431,zle zapakowane jedzenie,430
432,Zbyt dlugi czas oczekiwania,431
433,inne,432
434,inne,433
435,inne,434
436,zle zapakowane jedzenie,435
437,inne,436
438,nieswieze jedzenie,437
439,zle zapakowane jedzenie,438
440,Zbyt dlugi czas oczekiwania,439
441,nieswieze jedzenie,440
442,inne,441
443,nieswieze jedzenie,442
444,nieswieze jedzenie,443
445,zle zapakowane jedzenie,444
446,nieswieze jedzenie,445
447,zle zapakowane jedzenie,446
448,inne,447
449,zle zapakowane jedzenie,448
450,zle zapakowane jedzenie,449
451,inne,450
452,Zbyt dlugi czas oczekiwania,451
453,inne,452
454,Zbyt dlugi czas oczekiwania,453
455,zle zapakowane jedzenie,454
456,inne,455
457,Zbyt dlugi czas oczekiwania,456
458,inne,457
459,inne,458
460,Zbyt dlugi czas oczekiwania,459
461,inne,460
462,nieswieze jedzenie,461
463,zle zapakowane jedzenie,462
464,Zbyt dlugi czas oczekiwania,463
465,Zbyt dlugi czas oczekiwania,464
466,inne,465
467,Zbyt dlugi czas oczekiwania,466
468,inne,467
469,Zbyt dlugi czas oczekiwania,468
470,zle zapakowane jedzenie,469
471,Zbyt dlugi czas oczekiwania,470
472,inne,471
473,nieswieze jedzenie,472
474,nieswieze jedzenie,473
475,Zbyt dlugi czas oczekiwania,474
476,zle zapakowane jedzenie,475
477,nieswieze jedzenie,476
478,Zbyt dlugi czas oczekiwania,477
479,nieswieze jedzenie,478
480,Zbyt dlugi czas oczekiwania,479
481,inne,480
482,inne,481
483,nieswieze jedzenie,482
484,inne,483
485,nieswieze jedzenie,484
486,zle zapakowane jedzenie,485
487,zle zapakowane jedzenie,486
488,inne,487
489,nieswieze jedzenie,488
490,nieswieze jedzenie,489
491,zle zapakowane jedzenie,490
492,nieswieze jedzenie,491
493,inne,492
494,Zbyt dlugi czas oczekiwania,493
495,Zbyt dlugi czas oczekiwania,494
496,Zbyt dlugi czas oczekiwania,495
497,inne,496
498,zle zapakowane jedzenie,497
499,inne,498
500,zle zapakowane jedzenie,499
501,inne,500
502,inne,501
503,inne,502
504,nieswieze jedzenie,503
505,Zbyt dlugi czas oczekiwania,504
506,inne,505
507,inne,506
508,Zbyt dlugi czas oczekiwania,507
509,nieswieze jedzenie,508
510,nieswieze jedzenie,509
511,zle zapakowane jedzenie,510
512,Zbyt dlugi czas oczekiwania,511
513,inne,512
514,zle zapakowane jedzenie,513
515,nieswieze jedzenie,514
516,Zbyt dlugi czas oczekiwania,515
517,zle zapakowane jedzenie,516
518,inne,517
519,nieswieze jedzenie,518
520,inne,519
521,inne,520
522,inne,521
523,Zbyt dlugi czas oczekiwania,522
524,zle zapakowane jedzenie,523
525,nieswieze jedzenie,524
526,Zbyt dlugi czas oczekiwania,525
527,Zbyt dlugi czas oczekiwania,526
528,Zbyt dlugi czas oczekiwania,527
529,zle zapakowane jedzenie,528
530,inne,529
531,Zbyt dlugi czas oczekiwania,530
532,inne,531
533,zle zapakowane jedzenie,532
534,Zbyt dlugi czas oczekiwania,533
535,zle zapakowane jedzenie,534
536,Zbyt dlugi czas oczekiwania,535
537,Zbyt dlugi czas oczekiwania,536
538,nieswieze jedzenie,537
539,Zbyt dlugi czas oczekiwania,538
540,zle zapakowane jedzenie,539
541,zle zapakowane jedzenie,540
542,inne,541
543,inne,542
544,zle zapakowane jedzenie,543
545,zle zapakowane jedzenie,544
546,zle zapakowane jedzenie,545
547,zle zapakowane jedzenie,546
548,nieswieze jedzenie,547
549,Zbyt dlugi czas oczekiwania,548
550,Zbyt dlugi czas oczekiwania,549
551,zle zapakowane jedzenie,550
552,zle zapakowane jedzenie,551
553,nieswieze jedzenie,552
554,Zbyt dlugi czas oczekiwania,553
555,Zbyt dlugi czas oczekiwania,554
556,Zbyt dlugi czas oczekiwania,555
557,nieswieze jedzenie,556
558,zle zapakowane jedzenie,557
559,Zbyt dlugi czas oczekiwania,558
560,Zbyt dlugi czas oczekiwania,559
561,zle zapakowane jedzenie,560
562,nieswieze jedzenie,561
563,nieswieze jedzenie,562
564,nieswieze jedzenie,563
565,zle zapakowane jedzenie,564
566,Zbyt dlugi czas oczekiwania,565
567,Zbyt dlugi czas oczekiwania,566
568,zle zapakowane jedzenie,567
569,inne,568
570,inne,569
571,inne,570
572,inne,571
573,zle zapakowane jedzenie,572
574,zle zapakowane jedzenie,573
575,inne,574
576,inne,575
577,nieswieze jedzenie,576
578,Zbyt dlugi czas oczekiwania,577
579,zle zapakowane jedzenie,578
580,Zbyt dlugi czas oczekiwania,579
581,inne,580
582,Zbyt dlugi czas oczekiwania,581
583,zle zapakowane jedzenie,582
584,zle zapakowane jedzenie,583
585,zle zapakowane jedzenie,584
586,inne,585
587,inne,586
588,inne,587
589,Zbyt dlugi czas oczekiwania,588
590,zle zapakowane jedzenie,589
591,nieswieze jedzenie,590
592,nieswieze jedzenie,591
593,nieswieze jedzenie,592
594,nieswieze jedzenie,593
595,inne,594
596,inne,595
597,nieswieze jedzenie,596
598,Zbyt dlugi czas oczekiwania,597
599,inne,598
600,inne,599
601,Zbyt dlugi czas oczekiwania,600
602,zle zapakowane jedzenie,601
603,nieswieze jedzenie,602
604,inne,603
605,inne,604
606,Zbyt dlugi czas oczekiwania,605
607,Zbyt dlugi czas oczekiwania,606
608,inne,607
609,Zbyt dlugi czas oczekiwania,608
610,inne,609
611,nieswieze jedzenie,610
612,inne,611
613,zle zapakowane jedzenie,612
614,inne,613
615,inne,614
616,nieswieze jedzenie,615
617,inne,616
618,inne,617
619,zle zapakowane jedzenie,618
620,inne,619
621,zle zapakowane jedzenie,620
622,nieswieze jedzenie,621
623,Zbyt dlugi czas oczekiwania,622
624,Zbyt dlugi czas oczekiwania,623
625,nieswieze jedzenie,624
626,inne,625
627,nieswieze jedzenie,626
628,nieswieze jedzenie,627
629,nieswieze jedzenie,628
630,inne,629
631,Zbyt dlugi czas oczekiwania,630
632,inne,631
633,nieswieze jedzenie,632
634,nieswieze jedzenie,633
635,nieswieze jedzenie,634
636,Zbyt dlugi czas oczekiwania,635
637,zle zapakowane jedzenie,636
638,nieswieze jedzenie,637
639,inne,638
640,Zbyt dlugi czas oczekiwania,639
641,nieswieze jedzenie,640
642,zle zapakowane jedzenie,641
643,nieswieze jedzenie,642
644,nieswieze jedzenie,643
645,zle zapakowane jedzenie,644
646,zle zapakowane jedzenie,645
647,zle zapakowane jedzenie,646
648,nieswieze jedzenie,647
649,zle zapakowane jedzenie,648
650,nieswieze jedzenie,649
651,nieswieze jedzenie,650
652,nieswieze jedzenie,651
653,zle zapakowane jedzenie,652
654,zle zapakowane jedzenie,653
655,Zbyt dlugi czas oczekiwania,654
656,inne,655
657,inne,656
658,zle zapakowane jedzenie,657
659,nieswieze jedzenie,658
660,zle zapakowane jedzenie,659
661,nieswieze jedzenie,660
662,zle zapakowane jedzenie,661
663,nieswieze jedzenie,662
664,nieswieze jedzenie,663
665,Zbyt dlugi czas oczekiwania,664
666,inne,665
667,nieswieze jedzenie,666
668,inne,667
669,zle zapakowane jedzenie,668
670,inne,669
671,inne,670
672,inne,671
673,Zbyt dlugi czas oczekiwania,672
674,zle zapakowane jedzenie,673
675,nieswieze jedzenie,674
676,Zbyt dlugi czas oczekiwania,675
677,zle zapakowane jedzenie,676
678,inne,677
679,zle zapakowane jedzenie,678
680,nieswieze jedzenie,679
681,zle zapakowane jedzenie,680
682,Zbyt dlugi czas oczekiwania,681
683,inne,682
684,Zbyt dlugi czas oczekiwania,683
685,Zbyt dlugi czas oczekiwania,684
686,zle zapakowane jedzenie,685
687,zle zapakowane jedzenie,686
688,zle zapakowane jedzenie,687
689,nieswieze jedzenie,688
690,inne,689
691,Zbyt dlugi czas oczekiwania,690
692,nieswieze jedzenie,691
693,nieswieze jedzenie,692
694,nieswieze jedzenie,693
695,nieswieze jedzenie,694
696,Zbyt dlugi czas oczekiwania,695
697,inne,696
698,nieswieze jedzenie,697
699,Zbyt dlugi czas oczekiwania,698
700,zle zapakowane jedzenie,699
701,inne,700
702,nieswieze jedzenie,701
703,zle zapakowane jedzenie,702
704,inne,703
705,nieswieze jedzenie,704
706,nieswieze jedzenie,705
707,inne,706
708,Zbyt dlugi czas oczekiwania,707
709,inne,708
710,zle zapakowane jedzenie,709
711,zle zapakowane jedzenie,710
712,zle zapakowane jedzenie,711
713,nieswieze jedzenie,712
714,nieswieze jedzenie,713
715,Zbyt dlugi czas oczekiwania,714
716,zle zapakowane jedzenie,715
717,Zbyt dlugi czas oczekiwania,716
718,zle zapakowane jedzenie,717
719,nieswieze jedzenie,718
720,nieswieze jedzenie,719
721,inne,720
722,inne,721
723,Zbyt dlugi czas oczekiwania,722
724,Zbyt dlugi czas oczekiwania,723
725,Zbyt dlugi czas oczekiwania,724
726,Zbyt dlugi czas oczekiwania,725
727,Zbyt dlugi czas oczekiwania,726
728,zle zapakowane jedzenie,727
729,zle zapakowane jedzenie,728
730,inne,729
731,inne,730
732,Zbyt dlugi czas oczekiwania,731
733,zle zapakowane jedzenie,732
734,nieswieze jedzenie,733
735,zle zapakowane jedzenie,734
736,nieswieze jedzenie,735
737,nieswieze jedzenie,736
738,nieswieze jedzenie,737
739,zle zapakowane jedzenie,738
740,nieswieze jedzenie,739
741,zle zapakowane jedzenie,740
742,inne,741
743,zle zapakowane jedzenie,742
744,nieswieze jedzenie,743
745,Zbyt dlugi czas oczekiwania,744
746,zle zapakowane jedzenie,745
747,zle zapakowane jedzenie,746
748,inne,747
749,nieswieze jedzenie,748
750,zle zapakowane jedzenie,749
751,nieswieze jedzenie,750
752,Zbyt dlugi czas oczekiwania,751
753,Zbyt dlugi czas oczekiwania,752
754,zle zapakowane jedzenie,753
755,zle zapakowane jedzenie,754
756,nieswieze jedzenie,755
757,Zbyt dlugi czas oczekiwania,756
758,inne,757
759,zle zapakowane jedzenie,758
760,zle zapakowane jedzenie,759
761,inne,760
762,inne,761
763,zle zapakowane jedzenie,762
764,nieswieze jedzenie,763
765,zle zapakowane jedzenie,764
766,inne,765
767,zle zapakowane jedzenie,766
768,inne,767
769,zle zapakowane jedzenie,768
770,Zbyt dlugi czas oczekiwania,769
771,Zbyt dlugi czas oczekiwania,770
772,nieswieze jedzenie,771
773,zle zapakowane jedzenie,772
774,zle zapakowane jedzenie,773
775,Zbyt dlugi czas oczekiwania,774
776,inne,775
777,zle zapakowane jedzenie,776
778,nieswieze jedzenie,777
779,nieswieze jedzenie,778
780,zle zapakowane jedzenie,779
781,zle zapakowane jedzenie,780
782,Zbyt dlugi czas oczekiwania,781
783,nieswieze jedzenie,782
784,inne,783
785,nieswieze jedzenie,784
786,inne,785
787,inne,786
788,Zbyt dlugi czas oczekiwania,787
789,nieswieze jedzenie,788
790,Zbyt dlugi czas oczekiwania,789
791,Zbyt dlugi czas oczekiwania,790
792,inne,791
793,zle zapakowane jedzenie,792
794,zle zapakowane jedzenie,793
795,nieswieze jedzenie,794
796,inne,795
797,zle zapakowane jedzenie,796
798,Zbyt dlugi czas oczekiwania,797
799,zle zapakowane jedzenie,798
800,Zbyt dlugi czas oczekiwania,799
801,inne,800
802,inne,801
803,nieswieze jedzenie,802
804,Zbyt dlugi czas oczekiwania,803
805,Zbyt dlugi czas oczekiwania,804
806,nieswieze jedzenie,805
807,inne,806
808,nieswieze jedzenie,807
809,nieswieze jedzenie,808
810,Zbyt dlugi czas oczekiwania,809
811,nieswieze jedzenie,810
812,Zbyt dlugi czas oczekiwania,811
813,Zbyt dlugi czas oczekiwania,812
814,Zbyt dlugi czas oczekiwania,813
815,zle zapakowane jedzenie,814
816,inne,815
817,zle zapakowane jedzenie,816
818,nieswieze jedzenie,817
819,Zbyt dlugi czas oczekiwania,818
820,zle zapakowane jedzenie,819
821,Zbyt dlugi czas oczekiwania,820
822,zle zapakowane jedzenie,821
823,nieswieze jedzenie,822
824,Zbyt dlugi czas oczekiwania,823
825,inne,824
826,zle zapakowane jedzenie,825
827,nieswieze jedzenie,826
828,Zbyt dlugi czas oczekiwania,827
829,nieswieze jedzenie,828
830,zle zapakowane jedzenie,829
831,zle zapakowane jedzenie,830
832,inne,831
833,inne,832
834,nieswieze jedzenie,833
835,nieswieze jedzenie,834
836,Zbyt dlugi czas oczekiwania,835
837,inne,836
838,nieswieze jedzenie,837
839,Zbyt dlugi czas oczekiwania,838
840,Zbyt dlugi czas oczekiwania,839
841,Zbyt dlugi czas oczekiwania,840
842,nieswieze jedzenie,841
843,nieswieze jedzenie,842
844,inne,843
845,Zbyt dlugi czas oczekiwania,844
846,nieswieze jedzenie,845
847,nieswieze jedzenie,846
848,Zbyt dlugi czas oczekiwania,847
849,zle zapakowane jedzenie,848
850,zle zapakowane jedzenie,849
851,zle zapakowane jedzenie,850
852,zle zapakowane jedzenie,851
853,Zbyt dlugi czas oczekiwania,852
854,zle zapakowane jedzenie,853
855,inne,854
856,zle zapakowane jedzenie,855
857,zle zapakowane jedzenie,856
858,nieswieze jedzenie,857
859,zle zapakowane jedzenie,858
860,nieswieze jedzenie,859
861,inne,860
862,inne,861
863,Zbyt dlugi czas oczekiwania,862
864,inne,863
865,inne,864
866,nieswieze jedzenie,865
867,zle zapakowane jedzenie,866
868,inne,867
869,nieswieze jedzenie,868
870,Zbyt dlugi czas oczekiwania,869
871,inne,870
872,nieswieze jedzenie,871
873,inne,872
874,Zbyt dlugi czas oczekiwania,873
875,Zbyt dlugi czas oczekiwania,874
876,inne,875
877,Zbyt dlugi czas oczekiwania,876
878,Zbyt dlugi czas oczekiwania,877
879,nieswieze jedzenie,878
880,Zbyt dlugi czas oczekiwania,879
881,nieswieze jedzenie,880
882,nieswieze jedzenie,881
883,zle zapakowane jedzenie,882
884,Zbyt dlugi czas oczekiwania,883
885,nieswieze jedzenie,884
886,zle zapakowane jedzenie,885
887,Zbyt dlugi czas oczekiwania,886
888,nieswieze jedzenie,887
889,inne,888
890,Zbyt dlugi czas oczekiwania,889
891,zle zapakowane jedzenie,890
892,Zbyt dlugi czas oczekiwania,891
893,nieswieze jedzenie,892
894,Zbyt dlugi czas oczekiwania,893
895,zle zapakowane jedzenie,894
896,Zbyt dlugi czas oczekiwania,895
897,inne,896
898,zle zapakowane jedzenie,897
899,nieswieze jedzenie,898
900,inne,899
901,nieswieze jedzenie,900
902,nieswieze jedzenie,901
903,nieswieze jedzenie,902
904,Zbyt dlugi czas oczekiwania,903
905,nieswieze jedzenie,904
906,zle zapakowane jedzenie,905
907,inne,906
908,nieswieze jedzenie,907
909,nieswieze jedzenie,908
910,Zbyt dlugi czas oczekiwania,909
911,nieswieze jedzenie,910
912,zle zapakowane jedzenie,911
913,nieswieze jedzenie,912
914,zle zapakowane jedzenie,913
915,inne,914
916,Zbyt dlugi czas oczekiwania,915
917,Zbyt dlugi czas oczekiwania,916
918,inne,917
919,zle zapakowane jedzenie,918
920,Zbyt dlugi czas oczekiwania,919
921,inne,920
922,zle zapakowane jedzenie,921
923,inne,922
924,inne,923
925,inne,924
926,inne,925
